97,Jonas Jerebko\jerebjo01,PF,30,UTA,10,79,9.0,.478,.316,.105,5.4,16.5,10.9,5.5,1.9,0.0,4.8,11.7,,0.0,0.1,0.1,.081,,-2.7,1.4,-1.3,0.0
98,Amir Johnson\johnsam01,C,30,PHI,8,94,15.2,.560,.000,.238,15.7,10.4,13.1,14.1,1.0,1.0,11.5,11.7,,0.2,0.1,0.3,.160,,1.6,0.4,2.0,0.1
99,Dakari Johnson\johnsda04,C,22,OKC,2,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.000,,-6.6,1.0,-5.6,0.0
100,James Johnson\johnsja01,PF,30,MIA,5,161,16.2,.644,.310,.333,1.9,18.0,9.8,24.1,1.8,3.2,17.2,15.6,,0.3,0.1,0.4,.113,,-0.7,3.6,3.0,0.2
101,Joe Johnson\johnsjo02,SF,36,HOU,6,41,2.5,.417,.083,.000,0.0,21.7,10.8,7.1,0.0,2.1,20.0,16.3,,-0.1,0.0,-0.1,-0.086,,-9.8,0.2,-9.6,-0.1
102,Tyler Johnson\johnsty01,PG,25,MIA,5,81,14.3,.688,.385,.269,1.3,9.3,5.2,8.4,1.2,0.0,6.4,16.5,,0.2,0.0,0.2,.122,,0.5,-0.9,-0.4,0.0
103,Damian Jones\jonesda03,C,22,GSW,4,11,-4.7,.602,.000,1.500,10.0,19.1,14.7,0.0,0.0,0.0,47.5,25.1,,-0.1,0.0,0.0,-0.174,,-13.0,-5.4,-18.4,0.0
104,Tyus Jones\jonesty01,PG,21,MIN,4,55,6.0,.286,.286,.000,0.0,17.2,8.9,19.3,0.9,0.0,12.5,6.6,,0.0,0.0,0.0,-0.020,,-6.7,4.0,-2.7,0.0
105,Cory Joseph\josepco01,PG,26,IND,7,143,12.7,.463,.333,.182,1.8,12.3,7.2,20.4,3.3,1.5,10.1,13.1,,0.1,0.3,0.4,.125,,-0.2,3.0,2.9,0.2
106,Furkan Korkmaz\korkmfu01,SG,20,PHI,1,2,56.8,1.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,0.0,0.0,0.0,.350,,31.8,-8.4,23.4,0.0
