104,Tyus Jones\jonesty01,PG,21,MIN,4,0,13.8,0.5,1.8,.286,0.0,0.5,.000,0.5,1.3,.400,.286,0.0,0.0,,0.0,2.3,2.3,2.0,0.3,0.0,0.3,0.0,1.0
105,Cory Joseph\josepco01,PG,26,IND,7,0,20.4,1.7,4.7,.364,0.4,1.6,.273,1.3,3.1,.409,.409,0.9,0.9,1.000,0.3,2.1,2.4,3.0,1.3,0.3,0.6,1.4,4.7
106,Furkan Korkmaz\korkmfu01,SG,20,PHI,1,0,2.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
107,Kyle Korver\korveky01,SG,36,CLE,13,11,25.5,3.4,7.3,.463,2.5,5.8,.440,0.8,1.5,.550,.637,0.8,0.9,.917,0.3,2.4,2.7,1.0,0.6,0.2,0.6,1.5,10.2
108,Shane Larkin\larkish01,PG,25,BOS,11,0,14.0,1.5,3.2,.457,0.4,1.2,.308,1.1,2.0,.545,.514,0.5,0.5,1.000,0.1,0.9,1.0,1.8,0.5,0.0,0.5,1.4,3.7
109,Joffrey Lauvergne\lauvejo01,C,26,SAS,1,0,6.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
110,Ty Lawson\lawsoty01,PG,30,WAS,5,0,19.2,1.8,5.2,.346,1.0,1.6,.625,0.8,3.6,.222,.442,1.2,1.2,1.000,0.4,2.2,2.6,3.0,0.6,0.0,0.6,1.2,5.8
111,Jake Layman\laymaja01,SF,23,POR,1,0,8.0,3.0,3.0,1.000,0.0,0.0,,3.0,3.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0
112,T.J. Leaf\leaftj01,PF,20,IND,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Meyers Leonard\leoname01,C,25,POR,2,0,4.0,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,1.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
114,DeAndre Liggins\liggide01,SG,29,NOP,3,0,4.7,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.7,0.0,0.3
115,Damian Lillard\lillada01,PG,27,POR,4,4,40.5,6.3,17.8,.352,2.3,7.5,.300,4.0,10.3,.390,.415,3.8,4.3,.882,0.8,3.8,4.5,4.8,1.3,0.0,4.0,2.0,18.5
116,Shaun Livingston\livinsh01,PG,32,GSW,12,0,17.4,2.8,5.8,.486,0.0,0.1,.000,2.8,5.8,.493,.486,1.4,1.6,.895,0.5,1.7,2.2,1.8,0.3,0.1,0.8,1.3,7.1
117,Kevon Looney\looneke01,C,21,GSW,12,0,20.8,2.0,3.6,.558,0.0,0.2,.000,2.0,3.4,.585,.558,0.7,1.3,.533,1.8,2.9,4.8,1.2,0.8,0.4,0.7,2.6,4.7
118,Kevin Love\loveke01,C,29,CLE,13,13,33.3,5.4,13.4,.402,1.8,4.8,.371,3.6,8.6,.420,.468,2.9,3.2,.905,2.2,8.1,10.3,1.4,0.6,0.5,1.8,3.2,15.5
119,Kyle Lowry\lowryky01,PG,31,TOR,10,10,36.1,6.0,11.8,.508,2.8,6.3,.444,3.2,5.5,.582,.627,2.6,3.2,.813,0.2,4.1,4.3,8.5,1.5,0.0,3.1,3.3,17.4
120,Ian Mahinmi\mahinia01,C,31,WAS,6,0,8.7,1.7,2.3,.714,0.0,0.0,,1.7,2.3,.714,.714,1.7,1.8,.909,0.7,1.2,1.8,0.2,0.7,0.8,0.2,1.7,5.0
121,Thon Maker\makerth01,C,20,MIL,6,2,21.7,1.8,4.7,.393,1.0,3.3,.300,0.8,1.3,.625,.500,0.8,1.2,.714,1.0,2.8,3.8,0.8,0.3,1.8,0.7,2.8,5.5
